Spider,Period,Amplitude,p value
s1,23.918481513600664,1784.2935272674413,0.0
s2,24.159274566652275,12738.319827904412,0.0
s3,24.281498381836897,3085.6592338392047,0.0
s4,24.220232279130745,883.5480967970503,0.0
s5,24.098622921768666,1355.1704811716202,0.0
s6,23.859031373743527,31965.574322247187,0.0
s7,24.220232279130745,8030.897447999301,0.0
s8,23.56615921535592,1212.4396590699491,0.0
s9,24.038275045112506,320.24644509679916,4.3744658587592577e-134
s10,24.159274566652275,2967.6824807890143,0.0
s11,24.847166004745528,129.85079841912662,1.3573266773523872e-51
s13,23.79987603155119,3205.072863157669,0.0
s14,23.859031373743527,635.2392424431831,9.772767496273637e-271
s15,24.281498381836897,10101.065022326648,0.0
s16,24.91164908977572,6126.664931811004,0.0
s17,24.34307522096391,7159.3669813005845,0.0
s18,24.159274566652275,663.2699765417217,6.695776077008586e-283
s19,25.439818122767132,600.8353341592734,8.30527810618401e-256
s20,25.37257544150611,72.64408730574709,7.097764877946598e-27
s21,23.508445479537567,2960.1600506488944,0.0
s22,24.038275045112506,2236.5233356605636,0.0
s23,24.34307522096391,3585.1444474563727,0.0
s24,24.220232279130745,7204.566856966112,0.0
s27,24.467170612856876,865.7821826578054,0.0
s29,23.624157025491307,2457.7945711672223,0.0
s30,23.918481513600664,5477.374490202264,0.0
s31,24.038275045112506,1472.470291592511,0.0
s32,24.220232279130745,2201.488261411457,0.0
