"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN23472_c0_g4",136.837478020552,10.659745868381,1.09105847714931,9.47680265075836,2.62193838674436e-21,1.44127953119337e-16
"TRINITY_DN7216_c0_g3",1239.0684534753,28.3460011082527,3.02621901076063,9.26106174358095,2.0240932464205e-20,5.56322028778674e-16
"TRINITY_DN91484_c0_g1",349.940086503958,26.5663163420102,3.02629473511146,8.6727561719277,4.217844943321e-18,7.7284978844785e-14
"TRINITY_DN14928_c0_g1",268.088232175809,25.9271379676687,3.02632694896432,8.46145786608817,2.64055470669792e-17,2.90302584454369e-13
"TRINITY_DN4262_c0_g1",405.842571961392,-25.9631926760843,3.02626740929418,-8.47353825948417,2.38049607340897e-17,2.90302584454369e-13
"TRINITY_DN16255_c1_g1",353.639466213224,-25.6686415380508,3.02627937485728,-8.37617364366643,5.46762252413465e-17,5.00925350252803e-13
"TRINITY_DN4143_c0_g1",64.8174557563212,24.3033673744585,3.02675874233908,7.92377900457443,2.30398956314801e-15,1.80929008980352e-11
"TRINITY_DN74451_c0_g1",62.0133925190844,24.2472730521112,3.02678454352684,7.90517881534804,2.6754925703469e-15,1.83839783239961e-11
"TRINITY_DN104146_c0_g1",123.376478131526,24.1996920295766,3.02648851178275,7.89023052181035,3.01628855816298e-15,1.84228202269132e-11
"TRINITY_DN52729_c0_g1",142.27114474095,-24.0219268698923,3.02641688776199,-7.83167942451568,4.81395716232871e-15,2.64623225213209e-11
"TRINITY_DN12591_c0_g3",42.2224080467416,23.7044509646511,3.027064067849,7.72512587791639,1.11742864012778e-14,5.58409566798401e-11
"TRINITY_DN94453_c0_g1",39.5479116591478,23.6298751544447,3.02712281991127,7.70034007246788,1.35704585268758e-14,6.21640087685302e-11
"TRINITY_DN25380_c0_g1",38.4368708852288,23.5945869439018,3.02714984073987,7.68861409853872,1.48737340993669e-14,6.28930125724769e-11
"TRINITY_DN13602_c0_g1",41.1478099017793,23.4544469642135,3.02708626617368,7.64248023676447,2.13076717629604e-14,8.36630512007095e-11
"TRINITY_DN632_c0_g3",56.0046880133574,23.2421038475179,3.02684865964927,7.57292696958754,3.64907467635704e-14,1.33726423306231e-10
"TRINITY_DN10079_c0_g1",25.4161355306826,23.0362234766119,3.02764138075543,7.50294391568396,6.24002558348881e-14,2.14383878952737e-10
"TRINITY_DN118079_c0_g1",69.6143713630045,-22.8146027491278,3.02665739895566,-7.43216022959502,1.06838268525901e-13,3.45464683580516e-10
"TRINITY_DN20030_c0_g1",34.2437992926458,-22.516979582244,3.02714308836367,-7.33264960865879,2.25646346105275e-13,6.89098869189277e-10
"TRINITY_DN14638_c5_g1",31.7574771846761,-22.4145308143427,3.02721798035556,-7.29862565488185,2.90721926020505e-13,8.41104435439323e-10
"TRINITY_DN65574_c0_g1",31.8397007992818,-22.3899510879286,3.02721552934112,-7.29051198172606,3.08779343337388e-13,8.48680025162812e-10
"TRINITY_DN36581_c0_g1",27.9774870161277,-22.2315923174015,3.02735798561463,-7.23785968541574,4.55820651276526e-13,1.19316481907955e-09
"TRINITY_DN49605_c2_g1",24.2294157193655,-22.0382732580299,3.02753830076949,-7.17357506344673,7.30641613994002e-13,1.82560770551138e-09
"TRINITY_DN95700_c0_g1",36.176275053575,-8.56640565972151,1.15657455311932,-7.13002515703,1.0035058445781e-12,2.39837896854167e-09
"TRINITY_DN143380_c0_g1",21.2178488432806,-21.8492190236311,3.02773150441382,-7.11067642300706,1.15475585863941e-12,2.64487206455868e-09
"TRINITY_DN152391_c0_g1",23.3141973847513,-7.34246062778465,1.13980126773535,-6.16112723030869,7.22289280927444e-10,1.58816967090326e-06
"TRINITY_DN48626_c0_g1",42.7348261957343,8.98251463928082,1.49367041945956,5.79948195159083,6.65200971083471e-09,1.40638836078686e-05
"TRINITY_DN119305_c0_g1",22.1335352704211,-7.85500898179458,1.30740187313127,-5.76334571385305,8.24626369436031e-09,1.67887820473699e-05
"TRINITY_DN13818_c0_g1",12.266067099919,7.18270010309517,1.23475755445225,5.5579332787638,2.72987691749328e-08,5.35933336266449e-05
"TRINITY_DN44862_c1_g1",12.1258803675775,7.15759364997534,1.24760258856677,5.48058629617806,4.2391868364635e-08,7.99752661038132e-05
"TRINITY_DN735_c0_g5",44.4952068675432,-8.86087904463109,1.55985728550294,-5.47542337623362,4.36466797000982e-08,7.99752661038132e-05
"TRINITY_DN17811_c0_g2",14.2850606049331,-6.63510260598661,1.16838633703425,-5.40497813592754,6.48162988505682e-08,0.000114933933800508
"TRINITY_DN16946_c0_g1",47.4925923063204,-8.95472359179731,1.60037104726888,-5.39545101527108,6.83516389935063e-08,0.000117415299858533
"TRINITY_DN54788_c0_g1",9.30908572274757,6.7754419902014,1.1997735400624,5.38055039108933,7.42584483856949e-08,0.000123696572962474
"TRINITY_DN14422_c0_g4",38.048932849672,4.24448176588867,0.745644620335727,5.26320670579192,1.41564262972124e-07,0.000228876103987578
"TRINITY_DN29096_c0_g1",43.2669950639088,-8.82187997810318,1.63203231614137,-5.20938212682227,1.8947053225437e-07,0.000297577004514935
"TRINITY_DN23472_c0_g3",196.666074775324,5.07547253245851,0.9170088635903,5.18585230882038,2.15029170571416e-07,0.000328337597397521
"TRINITY_DN12339_c0_g1",13.4087420445373,-7.13175913790914,1.34541145790719,-5.06295609263277,4.12804953261514e-07,0.000613294277859065
"TRINITY_DN12539_c2_g1",8.04284685361692,6.57440810250519,1.23804370323013,5.05184759325302,4.37556782455488e-07,0.000632960429778373
"TRINITY_DN19908_c0_g1",9.23800483714848,-6.59116517750966,1.26702787226602,-4.94950846368832,7.44011425070173e-07,0.0010486745650284
"TRINITY_DN33763_c0_g1",25.7299396264758,-8.07291802761694,1.5894803298752,-4.87764326610174,1.07360865669918e-06,0.00147540669646885
"TRINITY_DN162400_c0_g1",114.172168589558,10.3992334401106,2.0726824920082,4.8628931247183,1.15682316187503e-06,0.00147885044670396
"TRINITY_DN27952_c0_g3",9.52368442679791,-6.62593691652958,1.29583452131703,-4.8663134164079,1.13699162187838e-06,0.00147885044670396
"TRINITY_DN41431_c1_g1",9129.49986246045,-8.28592479045915,1.63530784910113,-4.87120806937834,1.10917956400994e-06,0.00147885044670396
"TRINITY_DN1772_c2_g2",7.28269359517394,6.42626640915198,1.25951334826209,4.84811567704111,1.24639718250161e-06,0.00155714666186621
"TRINITY_DN2700_c1_g1",7.910137055357,6.54610527744518,1.30989703105632,4.75312572654993,2.00295706678458e-06,0.00244672333246996
"TRINITY_DN29436_c3_g1",8.22006781574563,6.60246573398411,1.32594584492038,4.73810130183812,2.15729969478453e-06,0.00252312264302778
"TRINITY_DN3459_c0_g1",650.268492200439,1.98327510814404,0.350814795329899,4.74117719744382,2.12479990337493e-06,0.00252312264302778
"TRINITY_DN30855_c4_g1",120.540004950179,10.4778108697506,2.18431994817796,4.65033104615635,3.31402640994352e-06,0.00379525066155407
"TRINITY_DN10757_c1_g1",19.3947301729675,-7.66266033909642,1.61142391353795,-4.55662862975349,5.19812110942755e-06,0.00583144321194352
"TRINITY_DN15614_c0_g1",22.6740498110994,-7.88596727523026,1.66914213998416,-4.53284779887114,5.81937472496369e-06,0.00639782057262508
"TRINITY_DN25480_c0_g1",6.9712257167537,-6.18335261032499,1.30493068530122,-4.49322916256778,7.01512235986199e-06,0.00756120149258066
"TRINITY_DN23826_c0_g2",6.09829866482378,-5.9874003331684,1.29351516963925,-4.3813945643552,1.179221043009e-05,0.0124657270642701
"TRINITY_DN118764_c0_g1",6.67849776944214,6.28933893206527,1.38031047992428,4.32463494183768,1.52784658315037e-05,0.0158463635237313
"TRINITY_DN34216_c0_g1",14.4761726170251,-7.24360702285696,1.60452700057177,-4.31504550586543,1.59570029377542e-05,0.016243637990525
"TRINITY_DN35444_c1_g1",13.3590538539471,7.30457169522948,1.63209307177216,4.27951801035801,1.87298481988995e-05,0.0187196319180637
"TRINITY_DN7609_c0_g1",83.0372972754631,-9.7615831870027,2.215497135465,-4.26160929565863,2.0296005058947e-05,0.0199227035373271
"TRINITY_DN77666_c0_g1",11660.9514950639,-4.85211684245858,1.06628394151764,-4.25038459831631,2.1340376517854e-05,0.020580359599762
"TRINITY_DN27224_c0_g2",16.1452801858303,-7.39453915227209,1.67494592682332,-4.22374181696096,2.40279297306837e-05,0.0227726775395808
"TRINITY_DN160972_c0_g1",6.28825009123381,6.208539231407,1.39590902528869,4.21842621884989,2.4601344551169e-05,0.0229209476267417
"TRINITY_DN30492_c0_g1",14.3127670957763,-7.22425013327364,1.64319776004944,-4.20171588662943,2.64899460243327e-05,0.0242692055492928
"TRINITY_DN2558_c1_g1",15044.6273957805,1.96448355914322,0.395104049977604,4.16215313215959,3.15260812013879e-05,0.0284096505514802
"TRINITY_DN5510_c0_g2",444.201462393094,4.91056876807968,1.10531094755767,4.15319216571874,3.27869179299323e-05,0.0290693044936835
"TRINITY_DN83231_c0_g2",5.77461116776361,6.09493930684602,1.39244205772189,4.14734622156855,3.36351236763384e-05,0.0293479801347353
"TRINITY_DN10398_c0_g1",32.9015227450464,3.14929684602836,0.684033513078839,4.13619624175091,3.53110244985519e-05,0.0302639560734173
"TRINITY_DN141031_c0_g1",13.0180519719733,7.27016026697037,1.68157414202684,4.13312746269585,3.57860131848667e-05,0.0302639560734173
"TRINITY_DN18438_c0_g2",6.61307911844298,-6.09744030010337,1.40099033294147,-4.12382595672394,3.72630502706028e-05,0.031035604142046
"TRINITY_DN13787_c1_g1",13.9389876853647,-7.18667051430594,1.67934392736711,-4.08890067269995,4.33422382321353e-05,0.0355600423226937
"TRINITY_DN5806_c1_g2",11.406040707338,-6.89485875030664,1.62328601763406,-4.05033905231901,5.11434761433927e-05,0.0413434835823867
"TRINITY_DN58786_c0_g1",11.5971880667385,7.09320801034659,1.68850942208728,4.01135339948165,6.03716606260461e-05,0.0480960896320834
"TRINITY_DN107216_c0_g1",5.42186385138843,-5.82510312539964,1.37368905550344,-4.00753220195243,6.13564979301032e-05,0.048182381303111
"TRINITY_DN39044_c2_g1",12.187495225823,7.17015405937236,1.71235374696923,4.0004316114569,6.32270580191192e-05,0.0484993689685883
"TRINITY_DN89582_c0_g1",11.6419861926342,-6.93113264984489,1.65416401949052,-3.99666089453519,6.42422237547351e-05,0.0484993689685883
"TRINITY_DN9620_c3_g1",254.09613241728,1.53236545868273,0.303390651828823,3.9960541017815,6.44070208242122e-05,0.0484993689685883
