transcript,Subject1,Subject2,Subject3,Subject4
TRINITY_DN0_c0_g1,756.624,906.464,307.957,739.13
TRINITY_DN0_c13_g1,0,0,0,0
TRINITY_DN0_c1_g1,357.557,352.441,211.422,268.329
TRINITY_DN0_c1_g2,1.1,1.022,1.04,1.243
TRINITY_DN0_c2_g1,0,0,0,0
TRINITY_DN0_c40_g1,0,0,0,0
TRINITY_DN0_c41_g1,0,0,0,0
TRINITY_DN0_c43_g1,0,0,0,0
TRINITY_DN0_c44_g1,0,0,0,0
TRINITY_DN100001_c0_g1,0,0,0,0
TRINITY_DN100002_c0_g1,0.296,0,0,0
TRINITY_DN100003_c0_g1,0,0,0,0
TRINITY_DN100006_c0_g1,0,0,0,0
TRINITY_DN100007_c0_g1,0,0.198,0.539,0
TRINITY_DN100009_c0_g1,0,0,0,0.464
TRINITY_DN10000_c0_g1,0.307,0.188,0.501,0.445
TRINITY_DN10000_c1_g1,0,0,0,0
TRINITY_DN100010_c0_g1,0,0,0,0
TRINITY_DN100011_c0_g1,0,0,0,0
TRINITY_DN100012_c0_g1,0,0,0,0
TRINITY_DN100014_c0_g1,6.143,5.006,0.7,2.598
TRINITY_DN100015_c0_g1,0,0.709,0,0
TRINITY_DN100016_c0_g1,0,0,0,0
TRINITY_DN100018_c0_g1,0,0,0,0.668
TRINITY_DN10001_c0_g1,0.042,0.042,0.085,0.065
TRINITY_DN10001_c1_g1,0.486,0,0.719,0.566
TRINITY_DN10001_c1_g2,0.508,0,0,0
TRINITY_DN10001_c1_g3,0,0,0.558,0.51
